round_epochs,loss,val_loss,acc,val_acc,hidden_layers,batch_size,activation,lr,epochs,dropout,optimizer,first_neuron,kernel_initializer,last_activation
22,0.4763537671277811,0.46363833590480885,0.7508791208529211,0.7567065157633112,2,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
13,1.3584349420568445,0.5114485752463727,0.6569093406593407,0.7444312682209411,3,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
48,0.5039536433691507,0.4956368637835344,0.7317170329932328,0.7552001537820023,3,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6859414155404646,0.6857040353086659,0.5686813186813187,0.5681869171003184,2,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.688422684433696,0.6880464090650988,0.5720604395342397,0.5721931989435729,0,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
24,0.5205991948174906,0.46000101414270417,0.7377197802459801,0.7601999935441008,0,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6897931031866388,0.6895688860975226,0.5686813187075185,0.5681869172674735,2,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
21,0.4947498422402602,0.46018204708205734,0.7395741758503757,0.759014134359132,1,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
26,0.6233543132687663,0.7891395208579692,0.7085027472527472,0.756289862527331,3,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
40,0.4806409811449575,0.4553848213979225,0.7492994505232508,0.761898657117248,1,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6844598771451593,0.6838641749552086,0.5714835164573167,0.5690202236286337,0,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
22,0.501059738279699,0.4608836095801745,0.7392857142857143,0.7601038428159987,1,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
14,1.2039992434637887,0.5062318358611291,0.6663598900836902,0.7415467452469562,2,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6883077722329359,0.6879206668057926,0.5793818681318681,0.5807826673119906,0,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
30,0.48883479297816096,0.4711370843111531,0.7437637362899361,0.7543347970667048,3,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.685853732916025,0.6856163852314381,0.5686813186813187,0.5681869171003184,3,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
48,0.4485953752680139,0.4593865521569034,0.7742445054945055,0.7649754815015888,0,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
34,0.5570990068833906,0.476203052557293,0.7392032967294966,0.7601038426746333,0,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6858875514910772,0.6856573252837469,0.5686950549450549,0.5681869171003184,1,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6895146640578469,0.6892962497509633,0.5686813187075185,0.5681869172674735,3,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.6843349003267812,0.6837267221149308,0.5721840659471659,0.5686676708258389,0,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
25,0.5052503640835102,0.4628943431054945,0.7358928571428571,0.7598474407776026,1,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6878610935053983,0.6875796532012733,0.5686813187075185,0.568186917003846,3,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
42,0.4848398767067836,0.4880350961130722,0.7442719780481779,0.7553604050693724,3,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
47,0.4410253429412842,0.4639135342309698,0.7699313186813187,0.7612897022779674,3,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
37,0.4701960347379957,0.455916752297849,0.7519093406855405,0.760071792526813,1,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
47,0.4717723915341136,0.4691401398230438,0.7582692307954306,0.7585013302918914,1,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
33,0.4978913285182073,0.4917772562262118,0.7401236263998262,0.7582449279994193,3,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
22,0.5843359886420952,0.5184431622408203,0.7249862637100639,0.757796224426495,2,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
